#,Tracker,Status,Priority,Subject,Assignee,Updated
"21474,Ошибка,Новая,Нормальный,""[L10N] Ошибка локализации в разделе """"О компании"""" в футере"",Elena Gusarenko,07/17/2023 03:42 PM"
"21473,Ошибка,Новая,Нормальный,""[L10N] Ошибка локализации в разделе """"Режим работы магазинов"""" в футере"",Elena Gusarenko,07/17/2023 03:39 PM"
"21472,Ошибка,Новая,Нормальный,""[L10N] Ошибка локализации категории """"Распродажа"""" в хедере"",Elena Gusarenko,07/17/2023 03:19 PM"
21471,Ошибка,Новая,Нормальный,[L10N] Отсутствует локализация слайдера на главной странице,Elena Gusarenko,07/17/2023 03:01 PM
21470,Ошибка,Новая,Нормальный,[L10N] Ошибка в локализации логотипа в футере,Elena Gusarenko,07/17/2023 02:54 PM
"21469,Ошибка,Новая,Высокий,""Не активна кнопка """"Помощь"""" в любом подразделе категории """"Каталог товаров"""" в хедере"",Elena Gusarenko,07/17/2023 02:47 PM"
21468,Ошибка,Новая,Нормальный,Кнопка Whatsapp не переходит на мессенджер в слайдере,Elena Gusarenko,07/17/2023 02:36 PM
"21467,Ошибка,Новая,Высокий,""Ошибка 404 при запросе чат-бота в разделе """"Покупателю"""" в футере"",Elena Gusarenko,07/17/2023 02:16 PM"
"21466,Ошибка,Новая,Нормальный,""Не корректная работа формы """"Обратная связь"""" в разделе """"Контакты"""" в хедере"",Elena Gusarenko,07/17/2023 01:55 PM"
"21465,Ошибка,Новая,Нормальный,""Ошибка 403 при переходе на """"Instagram"""" в popup в футере слева"",Elena Gusarenko,07/17/2023 01:23 PM"
